https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1678154400000,2023-03-07 02:00:00,DAI/USD,0.99901,0.99935,0.99901,0.99935,6166.436625,6162.42844119375
1678150800000,2023-03-07 01:00:00,DAI/USD,0.9995,0.9998,0.9985,0.99901,242860.672083,242620.24001763784
1678147200000,2023-03-07 00:00:00,DAI/USD,0.9995,0.9995,0.9987,0.9995,13173.671329,13167.084493335502
1678143600000,2023-03-06 23:00:00,DAI/USD,0.9995,0.9995,0.9995,0.9995,0.0,0.0
1678140000000,2023-03-06 22:00:00,DAI/USD,0.99951,0.99951,0.9984,0.9995,100.049024,99.99899948800001
1678136400000,2023-03-06 21:00:00,DAI/USD,0.99829,0.99951,0.99829,0.99951,8.969547,8.965151921970001
1678132800000,2023-03-06 20:00:00,DAI/USD,0.99998,1.0,0.99825,0.99829,55534.709135,55439.744782379144
1678129200000,2023-03-06 19:00:00,DAI/USD,0.99784,0.99999,0.99784,0.99998,45248.261275,45247.3563097745
1678125600000,2023-03-06 18:00:00,DAI/USD,0.99784,0.99972,0.99784,0.99784,3118.119609,3111.3844706445598
1678122000000,2023-03-06 17:00:00,DAI/USD,0.99914,0.99914,0.99693,0.99784,1476.317537,1473.1286911200798
1678118400000,2023-03-06 16:00:00,DAI/USD,0.99914,0.99914,0.99914,0.99914,100.066056,99.97999919184001
1678114800000,2023-03-06 15:00:00,DAI/USD,0.99914,0.99914,0.99914,0.99914,0.0,0.0
1678111200000,2023-03-06 14:00:00,DAI/USD,0.99689,0.99914,0.99689,0.99914,96.610034,96.52694937076001
1678107600000,2023-03-06 13:00:00,DAI/USD,0.99926,0.99926,0.99689,0.99689,4711.360429,4696.70809806581
1678104000000,2023-03-06 12:00:00,DAI/USD,0.9969,0.9998,0.9969,0.99926,1961.499128,1960.04761864528
1678100400000,2023-03-06 11:00:00,DAI/USD,0.99689,0.9969,0.99689,0.9969,0.698277,0.6961123413
1678096800000,2023-03-06 10:00:00,DAI/USD,0.99689,0.99689,0.99689,0.99689,0.0,0.0
1678093200000,2023-03-06 09:00:00,DAI/USD,0.9969,0.9969,0.99689,0.99689,5000.0,4984.45
1678089600000,2023-03-06 08:00:00,DAI/USD,0.9969,0.9969,0.9969,0.9969,0.0,0.0
1678086000000,2023-03-06 07:00:00,DAI/USD,0.9969,0.9969,0.9969,0.9969,0.0,0.0
1678082400000,2023-03-06 06:00:00,DAI/USD,0.99812,0.99812,0.9969,0.9969,0.173099,0.17256239310000002
1678078800000,2023-03-06 05:00:00,DAI/USD,0.9969,0.99812,0.9969,0.99812,23.436876,23.39281467312
1678075200000,2023-03-06 04:00:00,DAI/USD,0.99689,0.9969,0.99689,0.9969,0.110207,0.10986535830000001
1678071600000,2023-03-06 03:00:00,DAI/USD,0.99688,0.9969,0.99688,0.99689,14579.6,14534.257444
1678068000000,2023-03-06 02:00:00,DAI/USD,0.99881,0.99881,0.99688,0.99688,33840.5,33734.91764
