https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1643605200000,2022-01-31 05:00:00,BAT/USD,0.819,0.8252,0.81798,0.82458,2826.502146,2330.67713954868
1643601600000,2022-01-31 04:00:00,BAT/USD,0.81408,0.82082,0.81055,0.819,3363.807905,2754.9586741949997
1643598000000,2022-01-31 03:00:00,BAT/USD,0.81314,0.81591,0.81125,0.81408,3590.428402,2922.89595350016
1643594400000,2022-01-31 02:00:00,BAT/USD,0.80916,0.81731,0.79959,0.81314,2894.379292,2353.53557749688
1643590800000,2022-01-31 01:00:00,BAT/USD,0.80665,0.8129,0.80468,0.80916,4777.781631,3865.9897845399596
1643587200000,2022-01-31 00:00:00,BAT/USD,0.83137,0.83464,0.80665,0.80665,5730.273453,4622.32508086245
1643583600000,2022-01-30 23:00:00,BAT/USD,0.82893,0.84303,0.82893,0.83137,15523.96987,12906.162830821902
1643580000000,2022-01-30 22:00:00,BAT/USD,0.82387,0.83084,0.82264,0.82893,794.613825,658.6792379572499
1643576400000,2022-01-30 21:00:00,BAT/USD,0.82325,0.8241,0.8179,0.82387,1150.984887,948.2619188526901
1643572800000,2022-01-30 20:00:00,BAT/USD,0.81786,0.82358,0.814,0.82325,2324.704361,1913.8128651932502
1643569200000,2022-01-30 19:00:00,BAT/USD,0.83412,0.83412,0.81471,0.81786,3697.297313,3023.8715804101803
1643565600000,2022-01-30 18:00:00,BAT/USD,0.8358,0.83982,0.83323,0.83412,1267.455593,1057.2100592331599
1643562000000,2022-01-30 17:00:00,BAT/USD,0.83475,0.83739,0.83149,0.8358,268.757809,224.6277767622
1643558400000,2022-01-30 16:00:00,BAT/USD,0.8391,0.84061,0.83394,0.83475,426.949306,356.3959331835
1643554800000,2022-01-30 15:00:00,BAT/USD,0.83137,0.84043,0.83137,0.8391,1560.521797,1309.4338398627
1643551200000,2022-01-30 14:00:00,BAT/USD,0.8477,0.85218,0.83137,0.83137,241.542917,200.81153490629
1643547600000,2022-01-30 13:00:00,BAT/USD,0.85577,0.85669,0.8477,0.8477,5689.360935,4822.8712645995
1643544000000,2022-01-30 12:00:00,BAT/USD,0.86208,0.8648,0.85577,0.85577,45.92115,39.2979425355
1643540400000,2022-01-30 11:00:00,BAT/USD,0.86104,0.86369,0.85979,0.86208,166.390614,143.44202051712
1643536800000,2022-01-30 10:00:00,BAT/USD,0.85271,0.86104,0.85271,0.86104,979.265859,843.18707523336
1643533200000,2022-01-30 09:00:00,BAT/USD,0.85746,0.85746,0.84881,0.85271,56.837437,48.46585090427
1643529600000,2022-01-30 08:00:00,BAT/USD,0.85657,0.85863,0.85338,0.85746,3077.250586,2638.6192874715603
1643526000000,2022-01-30 07:00:00,BAT/USD,0.84801,0.85658,0.84801,0.85657,1560.213726,1336.43227127982
1643522400000,2022-01-30 06:00:00,BAT/USD,0.85187,0.85255,0.84769,0.84801,493.48146,418.47721289460003
1643518800000,2022-01-30 05:00:00,BAT/USD,0.85062,0.85759,0.85062,0.85187,559.310873,476.46015338251004
1643515200000,2022-01-30 04:00:00,BAT/USD,0.85082,0.85349,0.84728,0.85062,14952.273652,12718.70301386424
1643511600000,2022-01-30 03:00:00,BAT/USD,0.8535,0.86032,0.85072,0.85082,677.960605,576.8224419461
