https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USD
1605312000000,2020-11-14 00:00:00,YFI/USD,17888.0,17888.0,17300.0,17474.99,1.477133,25812.884403670003
1605308400000,2020-11-13 23:00:00,YFI/USD,17965.08,18160.0,17888.0,17888.0,1.82490786,32643.95179968
1605304800000,2020-11-13 22:00:00,YFI/USD,17743.99,18000.0,17536.67,17965.08,2.6556717,47709.354544236005
1605301200000,2020-11-13 21:00:00,YFI/USD,17825.45,17934.91,17482.46,17743.99,1.223839,21715.78697761
1605297600000,2020-11-13 20:00:00,YFI/USD,18145.09,18145.09,17825.45,17825.45,0.898059,16008.305801550001
1605294000000,2020-11-13 19:00:00,YFI/USD,18052.83,18145.09,17893.16,18145.09,0.721791,13096.962656189999
1605290400000,2020-11-13 18:00:00,YFI/USD,18283.98,18432.23,18052.83,18052.83,0.708374,12788.15539842
1605286800000,2020-11-13 17:00:00,YFI/USD,18190.02,18310.0,17846.21,18283.98,2.760754,50477.57092092
1605283200000,2020-11-13 16:00:00,YFI/USD,17903.12,18304.31,17703.28,18190.02,1.57280695,28609.389876638998
1605279600000,2020-11-13 15:00:00,YFI/USD,17683.51,17903.12,17450.13,17903.12,0.61656,11038.3476672
1605276000000,2020-11-13 14:00:00,YFI/USD,18029.78,18029.78,17417.6,17683.51,0.60911006,10771.2038371106
1605272400000,2020-11-13 13:00:00,YFI/USD,17506.45,18029.78,17452.95,18029.78,1.864902,33623.77278156
1605268800000,2020-11-13 12:00:00,YFI/USD,17423.98,17637.0,17423.98,17506.45,0.627574,10986.5928523
1605265200000,2020-11-13 11:00:00,YFI/USD,17672.51,17725.08,17360.85,17423.98,2.7601035,48091.98818193
1605261600000,2020-11-13 10:00:00,YFI/USD,17581.59,17672.51,17400.0,17672.51,0.880749,15565.04550999
1605258000000,2020-11-13 09:00:00,YFI/USD,17633.24,17864.55,17533.34,17581.59,2.70432795,47546.385242440505
1605254400000,2020-11-13 08:00:00,YFI/USD,16649.75,17739.76,16649.75,17633.24,3.386787,59720.02799988
1605250800000,2020-11-13 07:00:00,YFI/USD,16866.26,16866.26,16649.75,16649.75,0.003378,56.2428555
1605247200000,2020-11-13 06:00:00,YFI/USD,16789.05,16866.26,16668.68,16866.26,0.635,10710.0751
1605243600000,2020-11-13 05:00:00,YFI/USD,16855.16,16855.16,16496.69,16789.05,0.670065,11249.75478825
1605240000000,2020-11-13 04:00:00,YFI/USD,16848.17,16901.93,16617.91,16855.16,0.53803896,9068.732757033598
1605236400000,2020-11-13 03:00:00,YFI/USD,16895.95,17106.57,16808.63,16848.17,2.571719,43328.758904229995
1605232800000,2020-11-13 02:00:00,YFI/USD,16691.74,17080.09,16333.03,16895.95,4.24600741,71740.3288989895
1605229200000,2020-11-13 01:00:00,YFI/USD,15553.3,16912.87,15553.3,16691.74,7.68336926,128248.80201191241
1605225600000,2020-11-13 00:00:00,YFI/USD,15553.3,15553.3,15553.3,15553.3,0.0,0.0
1605222000000,2020-11-12 23:00:00,YFI/USD,15800.0,15800.0,15488.51,15553.3,0.378524,5887.2973292
1605218400000,2020-11-12 22:00:00,YFI/USD,15531.31,15800.0,15531.31,15800.0,0.316455,4999.989
1605214800000,2020-11-12 21:00:00,YFI/USD,15682.12,15682.12,15502.81,15531.31,0.65291627,10140.6449934137
1605211200000,2020-11-12 20:00:00,YFI/USD,15418.36,15751.41,15418.36,15682.12,0.936306,14683.26304872
1605207600000,2020-11-12 19:00:00,YFI/USD,15209.07,15557.42,15209.07,15418.36,0.314618,4850.8935864800005
1605204000000,2020-11-12 18:00:00,YFI/USD,15126.62,15394.87,15000.0,15209.07,3.14394626,47816.498744578195
1605200400000,2020-11-12 17:00:00,YFI/USD,15473.21,15782.31,15102.63,15126.62,1.063743,16090.836138660003
1605196800000,2020-11-12 16:00:00,YFI/USD,16190.55,16190.55,15371.34,15473.21,3.53151648,54643.8961135008
1605193200000,2020-11-12 15:00:00,YFI/USD,16044.61,16389.02,16044.61,16190.55,2.571469,41633.49741795
1605189600000,2020-11-12 14:00:00,YFI/USD,16286.0,16605.81,15836.03,16044.61,4.61295109,74013.00118812491
1605186000000,2020-11-12 13:00:00,YFI/USD,16482.61,16482.61,16286.0,16286.0,0.436084,7102.064024
1605182400000,2020-11-12 12:00:00,YFI/USD,16477.2,16685.97,16477.2,16482.61,0.744896,12277.830258560001
1605178800000,2020-11-12 11:00:00,YFI/USD,15983.37,16480.0,15973.34,16477.2,1.40082306,23081.641724232002
1605175200000,2020-11-12 10:00:00,YFI/USD,16639.63,16639.63,15957.46,15983.37,2.891881,46222.00401897
1605171600000,2020-11-12 09:00:00,YFI/USD,16783.32,16987.16,16619.82,16639.63,0.775699,12907.34435137
1605168000000,2020-11-12 08:00:00,YFI/USD,16586.71,16821.71,16586.71,16783.32,0.207548,3483.34449936
1605164400000,2020-11-12 07:00:00,YFI/USD,16469.97,16591.41,16427.09,16586.71,0.239534,3973.08099314
1605160800000,2020-11-12 06:00:00,YFI/USD,16480.97,16636.54,16386.95,16469.97,0.843457,13891.711486290002
1605157200000,2020-11-12 05:00:00,YFI/USD,16848.86,16853.34,16396.39,16480.97,2.771739,45680.94730683001
1605153600000,2020-11-12 04:00:00,YFI/USD,16877.21,16945.82,16622.8,16848.86,0.38505602,6487.7549731372
1605150000000,2020-11-12 03:00:00,YFI/USD,16938.43,17003.1,16730.05,16877.21,1.275567,21528.012128069997
1605146400000,2020-11-12 02:00:00,YFI/USD,16613.61,17281.34,16613.61,16938.43,1.91309052,32404.7498566836
1605142800000,2020-11-12 01:00:00,YFI/USD,16586.38,16806.26,16465.81,16613.61,1.732706,28786.50172866
1605139200000,2020-11-12 00:00:00,YFI/USD,16871.44,16871.44,16192.35,16586.38,3.461369,57411.58155422
1605135600000,2020-11-11 23:00:00,YFI/USD,16581.18,16889.36,16156.24,16871.44,7.20259477,121518.14550636879
1605132000000,2020-11-11 22:00:00,YFI/USD,16703.48,16997.55,16518.05,16581.18,3.07445,50978.008851000006
1605128400000,2020-11-11 21:00:00,YFI/USD,15990.34,16723.5,15990.34,16703.48,5.02722576,83972.1649376448
1605124800000,2020-11-11 20:00:00,YFI/USD,16771.61,16771.61,15759.3,15990.34,6.87748843,109973.37834176619
1605121200000,2020-11-11 19:00:00,YFI/USD,17403.53,17512.58,16771.61,16771.61,3.454009,57929.291884490005
1605117600000,2020-11-11 18:00:00,YFI/USD,17416.39,17607.92,17204.13,17403.53,3.301275,57453.83850075
1605114000000,2020-11-11 17:00:00,YFI/USD,18057.38,18057.38,17416.39,17416.39,2.514334,43790.62153426
1605110400000,2020-11-11 16:00:00,YFI/USD,17596.15,18268.71,17596.15,18057.38,1.56351004,28232.8949260952
1605106800000,2020-11-11 15:00:00,YFI/USD,17528.83,17824.69,17528.83,17596.15,0.562007,9889.159473050002
1605103200000,2020-11-11 14:00:00,YFI/USD,17230.44,17565.59,17230.44,17528.83,0.62453909,10947.4395369647
1605099600000,2020-11-11 13:00:00,YFI/USD,17598.62,17598.84,17108.22,17230.44,2.047725,35283.202749
1605096000000,2020-11-11 12:00:00,YFI/USD,17522.8,17894.74,17398.13,17598.62,1.62878121,28664.3015779302
1605092400000,2020-11-11 11:00:00,YFI/USD,17637.43,17841.77,17117.0,17522.8,2.37917,41689.720076
1605088800000,2020-11-11 10:00:00,YFI/USD,17825.37,17940.74,17464.37,17637.43,2.549212,44961.54820516
1605085200000,2020-11-11 09:00:00,YFI/USD,18367.5,18680.59,17310.83,17825.37,2.34756007,41846.1268449759
1605081600000,2020-11-11 08:00:00,YFI/USD,18691.14,18691.14,18288.7,18367.5,0.174706,3208.912455
1605078000000,2020-11-11 07:00:00,YFI/USD,18401.97,18824.9,18401.97,18691.14,0.626119,11702.87788566
1605074400000,2020-11-11 06:00:00,YFI/USD,18104.56,18548.27,18104.56,18401.97,1.255451,23102.771638470003
1605070800000,2020-11-11 05:00:00,YFI/USD,18582.4,18585.29,17979.7,18104.56,0.75978,13755.4825968
1605067200000,2020-11-11 04:00:00,YFI/USD,18801.91,18878.68,18365.94,18582.4,0.608356,11304.714534400002
1605063600000,2020-11-11 03:00:00,YFI/USD,18777.79,19054.91,18773.37,18801.91,0.638892,12012.38988372
