https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1687906800000,2023-06-27 23:00:00,LINK/USD,6.21616,6.23366,6.19447,6.22209,573.54528,3568.6503512352
1687903200000,2023-06-27 22:00:00,LINK/USD,6.22928,6.22928,6.21046,6.21616,69.251523,430.47854721168005
1687899600000,2023-06-27 21:00:00,LINK/USD,6.23589,6.23852,6.21025,6.22928,259.12725,1614.17619588
1687896000000,2023-06-27 20:00:00,LINK/USD,6.25001,6.25665,6.2287,6.23589,121.566219,758.0735693999101
1687892400000,2023-06-27 19:00:00,LINK/USD,6.2539,6.2539,6.22526,6.25001,392.539596,2453.37640039596
1687888800000,2023-06-27 18:00:00,LINK/USD,6.22844,6.25526,6.22473,6.2539,42.949799,268.6037479661
1687885200000,2023-06-27 17:00:00,LINK/USD,6.24854,6.26589,6.22373,6.22844,1046.983462,6521.073674059279
1687881600000,2023-06-27 16:00:00,LINK/USD,6.13738,6.24854,6.13319,6.24854,844.827711,5278.93974529194
1687878000000,2023-06-27 15:00:00,LINK/USD,6.18236,6.18472,6.11006,6.13738,664.31205,4077.1354894290002
1687874400000,2023-06-27 14:00:00,LINK/USD,6.17168,6.24889,6.17168,6.18236,242.900425,1501.697871503
1687870800000,2023-06-27 13:00:00,LINK/USD,6.23848,6.24737,6.17168,6.17168,942.317707,5815.68334593776
1687867200000,2023-06-27 12:00:00,LINK/USD,6.2119,6.23848,6.2119,6.23848,223.732348,1395.74977835104
1687863600000,2023-06-27 11:00:00,LINK/USD,6.24853,6.24853,6.20732,6.2119,197.626156,1227.6339184564001
1687860000000,2023-06-27 10:00:00,LINK/USD,6.18945,6.24853,6.18945,6.24853,66.33465,414.49405056449996
1687856400000,2023-06-27 09:00:00,LINK/USD,6.1906,6.24853,6.17728,6.18945,2.066824,12.7925038068
1687852800000,2023-06-27 08:00:00,LINK/USD,6.21064,6.23046,6.1759,6.1906,178.408845,1104.457795857
1687849200000,2023-06-27 07:00:00,LINK/USD,6.15446,6.21743,6.15446,6.21064,6.717643,41.720862321519995
1687845600000,2023-06-27 06:00:00,LINK/USD,6.15118,6.15446,6.13693,6.15446,1.503971,9.25612936066
1687842000000,2023-06-27 05:00:00,LINK/USD,6.20362,6.20362,6.15118,6.15118,695.791306,4279.93756564108
1687838400000,2023-06-27 04:00:00,LINK/USD,6.18271,6.20701,6.1765,6.20362,9.312769,57.77288002378
1687834800000,2023-06-27 03:00:00,LINK/USD,6.15008,6.20992,6.12256,6.18271,55.066827,340.46222196117003
1687831200000,2023-06-27 02:00:00,LINK/USD,6.13794,6.16554,6.12001,6.15008,306.45315,1884.711388752
1687827600000,2023-06-27 01:00:00,LINK/USD,6.0755,6.15475,6.07,6.13794,1716.355258,10534.885592288521
1687824000000,2023-06-27 00:00:00,LINK/USD,6.0726,6.09437,6.04789,6.0755,1102.656832,6699.191582815999
1687820400000,2023-06-26 23:00:00,LINK/USD,6.07979,6.08275,6.06109,6.0726,585.539368,3555.7463661168
1687816800000,2023-06-26 22:00:00,LINK/USD,6.07,6.07979,6.05448,6.07979,798.293101,4853.45441252879
1687813200000,2023-06-26 21:00:00,LINK/USD,6.07,6.0821,6.07,6.07,1977.942984,12006.11391288
1687809600000,2023-06-26 20:00:00,LINK/USD,6.09995,6.10587,6.07,6.07,392.479467,2382.3503646900003
1687806000000,2023-06-26 19:00:00,LINK/USD,6.10739,6.10739,6.09142,6.09995,795.19818,4850.669138091
1687802400000,2023-06-26 18:00:00,LINK/USD,6.09439,6.11054,6.09439,6.10739,1229.958235,7511.8346248566495
1687798800000,2023-06-26 17:00:00,LINK/USD,6.08968,6.13247,6.06877,6.09439,301.694291,1838.64267012749
1687795200000,2023-06-26 16:00:00,LINK/USD,6.26208,6.2667,6.06727,6.08968,763.424678,4649.01199312304
1687791600000,2023-06-26 15:00:00,LINK/USD,6.17781,6.26835,6.17781,6.26208,339.950358,2128.79633782464
1687788000000,2023-06-26 14:00:00,LINK/USD,6.24969,6.26946,6.15884,6.17781,1481.216737,9150.67557000597
1687784400000,2023-06-26 13:00:00,LINK/USD,6.16013,6.3753,6.16013,6.24969,6009.963232,37560.40711139808
1687780800000,2023-06-26 12:00:00,LINK/USD,6.15333,6.18066,6.15333,6.16013,203.780138,1255.3121414979398
1687777200000,2023-06-26 11:00:00,LINK/USD,6.17527,6.17527,6.15333,6.15333,33.824162,208.13123075946
1687773600000,2023-06-26 10:00:00,LINK/USD,6.20881,6.20881,6.15832,6.17527,1.150446,7.104314670420001
1687770000000,2023-06-26 09:00:00,LINK/USD,6.17392,6.21103,6.17392,6.20881,3.881654,24.10045217174
1687766400000,2023-06-26 08:00:00,LINK/USD,6.17982,6.17982,6.17392,6.17392,4.298747,26.540120078239998
1687762800000,2023-06-26 07:00:00,LINK/USD,6.21646,6.2482,6.17328,6.17982,1636.16558,10111.208774595601
