https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1653195600000,2022-05-22 05:00:00,AAVE/USD,90.7199,91.9803,90.5434,91.3809,376.992649,34449.9275590041
1653192000000,2022-05-22 04:00:00,AAVE/USD,91.6299,92.1079,90.7199,90.7199,11.018856,999.6295144343999
1653188400000,2022-05-22 03:00:00,AAVE/USD,91.7906,92.1195,91.1542,91.6299,9.650452,884.2699517148001
1653184800000,2022-05-22 02:00:00,AAVE/USD,92.1681,92.1857,90.7276,91.7906,74.859319,6871.3818066014
1653181200000,2022-05-22 01:00:00,AAVE/USD,92.211,92.4992,91.6233,92.1681,380.093685,35032.5127684485
1653177600000,2022-05-22 00:00:00,AAVE/USD,91.1414,92.298,90.9881,92.211,12.029408,1109.243741088
1653174000000,2022-05-21 23:00:00,AAVE/USD,91.1058,91.9245,90.5718,91.1414,1.564229,142.5660209806
1653170400000,2022-05-21 22:00:00,AAVE/USD,89.9814,91.1404,89.7215,91.1058,381.205656,34730.0462544048
1653166800000,2022-05-21 21:00:00,AAVE/USD,90.8689,91.5263,89.9814,89.9814,17.151506,1543.3165219884
1653163200000,2022-05-21 20:00:00,AAVE/USD,91.344,92.1483,90.4721,90.8689,15.905697,1445.3331901233
1653159600000,2022-05-21 19:00:00,AAVE/USD,92.3654,92.8047,91.0824,91.344,18.662794,1704.734255136
1653156000000,2022-05-21 18:00:00,AAVE/USD,91.0698,92.3654,91.0697,92.3654,2.035142,187.97670488679998
1653152400000,2022-05-21 17:00:00,AAVE/USD,92.6209,92.6209,91.0698,91.0698,16.321297,1486.3772535306002
1653148800000,2022-05-21 16:00:00,AAVE/USD,92.0332,92.7944,91.575,92.6209,397.000245,36770.519992120506
1653145200000,2022-05-21 15:00:00,AAVE/USD,91.3873,92.6901,90.7588,92.0332,21.320616,1962.2045164511999
1653141600000,2022-05-21 14:00:00,AAVE/USD,90.2577,91.3873,89.9806,91.3873,5.608697,512.5636753481
1653138000000,2022-05-21 13:00:00,AAVE/USD,89.5603,90.4528,89.077,90.2577,0.811412,73.2361808724
1653134400000,2022-05-21 12:00:00,AAVE/USD,90.1852,90.5465,88.9485,89.5603,127.134783,11386.2293059149
1653130800000,2022-05-21 11:00:00,AAVE/USD,90.2006,90.3744,89.1947,90.1852,437.067947,39417.060213784396
1653127200000,2022-05-21 10:00:00,AAVE/USD,91.4427,91.82,90.2006,90.2006,1.537633,138.69541917979998
1653123600000,2022-05-21 09:00:00,AAVE/USD,91.6775,91.8814,90.8109,91.4427,1.502059,137.3523305193
1653120000000,2022-05-21 08:00:00,AAVE/USD,92.6118,92.6716,91.6179,91.6775,5.656609,518.5837715975
1653116400000,2022-05-21 07:00:00,AAVE/USD,91.2712,92.6882,90.081,92.6118,5.652958,523.5306157044
1653112800000,2022-05-21 06:00:00,AAVE/USD,90.9771,91.8029,90.758,91.2712,6.915653,631.1999480935999
1653109200000,2022-05-21 05:00:00,AAVE/USD,91.7993,91.865,90.4825,90.9771,2.795278,254.3062861338
1653105600000,2022-05-21 04:00:00,AAVE/USD,91.9934,92.5952,91.167,91.7993,379.852854,34870.2261002022
1653102000000,2022-05-21 03:00:00,AAVE/USD,90.1157,91.9934,89.8021,91.9934,18.910327,1739.6252758417997
1653098400000,2022-05-21 02:00:00,AAVE/USD,89.2487,90.7746,88.9716,90.1157,8.689311,783.0433432827
1653094800000,2022-05-21 01:00:00,AAVE/USD,91.3552,91.3552,88.5188,89.2487,24.684721,2203.0792591127
1653091200000,2022-05-21 00:00:00,AAVE/USD,90.0473,91.6181,89.4926,91.3552,3.407586,311.3007005472
1653087600000,2022-05-20 23:00:00,AAVE/USD,89.8646,91.6584,89.8493,90.0473,1.630855,146.8540894415
1653084000000,2022-05-20 22:00:00,AAVE/USD,89.1066,91.1493,88.9889,89.8646,1.637932,147.1921040072
1653080400000,2022-05-20 21:00:00,AAVE/USD,89.3477,90.3977,88.337,89.1066,68.062485,6064.8166259009995
1653076800000,2022-05-20 20:00:00,AAVE/USD,89.4875,90.8696,88.5327,89.3477,207.019835,18496.7461116295
1653073200000,2022-05-20 19:00:00,AAVE/USD,87.0672,89.6796,86.8406,89.4875,129.789754,11614.560611074998
1653069600000,2022-05-20 18:00:00,AAVE/USD,86.8117,87.4917,85.9044,87.0672,82.388267,7173.3157205423995
1653066000000,2022-05-20 17:00:00,AAVE/USD,85.5,86.9858,84.3835,86.8117,37.414627,3248.0273747359
1653062400000,2022-05-20 16:00:00,AAVE/USD,89.4846,89.4846,85.2786,85.5,780.381497,66722.6179935
1653058800000,2022-05-20 15:00:00,AAVE/USD,91.4079,91.5697,88.55,89.4846,391.74083,35054.771476218004
1653055200000,2022-05-20 14:00:00,AAVE/USD,95.1259,95.5285,91.4079,91.4079,523.557022,47857.24791127379
1653051600000,2022-05-20 13:00:00,AAVE/USD,95.9392,97.5491,95.0029,95.1259,68.395641,6506.1969062019
1653048000000,2022-05-20 12:00:00,AAVE/USD,97.294,97.6155,95.8232,95.9392,96.301966,9239.133576467199
1653044400000,2022-05-20 11:00:00,AAVE/USD,95.0268,97.9526,94.1965,97.294,78.33198,7621.23166212
1653040800000,2022-05-20 10:00:00,AAVE/USD,93.5359,95.0268,93.1339,95.0268,87.315058,8297.2705535544
