https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1703865600000,2023-12-29 16:00:00,LRC/USD,0.3478,0.35412,0.33376,0.33376,3016.308193,1006.72302249568
1703862000000,2023-12-29 15:00:00,LRC/USD,0.35655,0.35944,0.34085,0.3478,7453.410141,2592.2960470398
1703858400000,2023-12-29 14:00:00,LRC/USD,0.35717,0.35717,0.34479,0.35655,491.589098,175.2760928919
1703854800000,2023-12-29 13:00:00,LRC/USD,0.33979,0.35717,0.32917,0.35717,9761.030159,3486.34714189003
1703851200000,2023-12-29 12:00:00,LRC/USD,0.33505,0.33979,0.33505,0.33979,250.861105,85.24009486794999
1703847600000,2023-12-29 11:00:00,LRC/USD,0.333,0.33505,0.333,0.33505,148.845396,49.8706499298
1703844000000,2023-12-29 10:00:00,LRC/USD,0.333,0.333,0.333,0.333,0.0,0.0
1703840400000,2023-12-29 09:00:00,LRC/USD,0.32877,0.333,0.32877,0.333,1126.170705,375.014844765
1703836800000,2023-12-29 08:00:00,LRC/USD,0.32328,0.32877,0.32328,0.32877,57.510705,18.90779448285
1703833200000,2023-12-29 07:00:00,LRC/USD,0.32392,0.333,0.32328,0.32328,800.753903,258.86772176184
1703829600000,2023-12-29 06:00:00,LRC/USD,0.32874,0.32989,0.32392,0.32392,462.754648,149.89548558016
1703826000000,2023-12-29 05:00:00,LRC/USD,0.32392,0.32874,0.32392,0.32874,106.13398,34.89048458519999
1703822400000,2023-12-29 04:00:00,LRC/USD,0.31851,0.32392,0.31851,0.32392,272.309083,88.20635816535999
1703818800000,2023-12-29 03:00:00,LRC/USD,0.31912,0.31914,0.31851,0.31851,342.875713,109.20934334763001
1703815200000,2023-12-29 02:00:00,LRC/USD,0.31307,0.31912,0.31,0.31912,316.889689,101.12583755368
1703811600000,2023-12-29 01:00:00,LRC/USD,0.31567,0.31904,0.30655,0.31307,1287.305059,403.01659482113
1703808000000,2023-12-29 00:00:00,LRC/USD,0.32247,0.32247,0.31567,0.31567,562.288381,177.49757323026998
1703804400000,2023-12-28 23:00:00,LRC/USD,0.333,0.333,0.32247,0.32247,110.183527,35.53088195169
1703800800000,2023-12-28 22:00:00,LRC/USD,0.33076,0.333,0.33076,0.333,4000.0,1332.0
1703797200000,2023-12-28 21:00:00,LRC/USD,0.32675,0.333,0.32675,0.33076,7517.916427,2486.62603739452
1703793600000,2023-12-28 20:00:00,LRC/USD,0.33649,0.33649,0.32675,0.32675,2696.996364,881.243561937
1703790000000,2023-12-28 19:00:00,LRC/USD,0.3306,0.34584,0.3306,0.33649,6333.445469,2131.14106586381
1703786400000,2023-12-28 18:00:00,LRC/USD,0.335,0.335,0.33009,0.3306,5605.667801,1853.2337750105999
1703782800000,2023-12-28 17:00:00,LRC/USD,0.34581,0.34581,0.33448,0.335,44286.578408,14836.003766680002
1703779200000,2023-12-28 16:00:00,LRC/USD,0.33279,0.34582,0.32868,0.34581,40108.828306,13870.033916497861
1703775600000,2023-12-28 15:00:00,LRC/USD,0.33754,0.34003,0.33279,0.33279,1694.270717,563.83635191043
1703772000000,2023-12-28 14:00:00,LRC/USD,0.32675,0.34301,0.32328,0.33754,23865.031023,8055.40257150342
1703768400000,2023-12-28 13:00:00,LRC/USD,0.32328,0.33456,0.32215,0.32675,3170.154059,1035.84783877825
1703764800000,2023-12-28 12:00:00,LRC/USD,0.32882,0.34172,0.32328,0.32328,16622.943732,5373.86524968096
1703761200000,2023-12-28 11:00:00,LRC/USD,0.35254,0.35254,0.32882,0.32882,430.016972,141.39818073304
1703757600000,2023-12-28 10:00:00,LRC/USD,0.32542,0.35254,0.32328,0.35254,27457.426557,9679.84115840478
1703754000000,2023-12-28 09:00:00,LRC/USD,0.31628,0.32542,0.31628,0.32542,445.701046,145.04003438932
1703750400000,2023-12-28 08:00:00,LRC/USD,0.31201,0.31628,0.31201,0.31628,71.208404,22.52179401712
1703746800000,2023-12-28 07:00:00,LRC/USD,0.31203,0.31203,0.31201,0.31201,1665.96913,519.7990282513
1703743200000,2023-12-28 06:00:00,LRC/USD,0.31,0.31203,0.31,0.31203,1116.325184,348.32694716352
1703739600000,2023-12-28 05:00:00,LRC/USD,0.31486,0.33001,0.31,0.31,65304.884917,20244.51432427
1703736000000,2023-12-28 04:00:00,LRC/USD,0.32391,0.32877,0.31486,0.31486,1855.455332,584.20866583352
1703732400000,2023-12-28 03:00:00,LRC/USD,0.31387,0.32391,0.31387,0.32391,56.861118,18.41788473138
1703728800000,2023-12-28 02:00:00,LRC/USD,0.33267,0.33267,0.31387,0.31387,403.336102,126.59510233473999
1703725200000,2023-12-28 01:00:00,LRC/USD,0.3296,0.34624,0.32675,0.33267,3208.688363,1067.43435771921
1703721600000,2023-12-28 00:00:00,LRC/USD,0.32812,0.34043,0.32675,0.3296,472.41289,155.707288544
1703718000000,2023-12-27 23:00:00,LRC/USD,0.33337,0.33845,0.32333,0.32812,2312.875838,758.90081996456
1703714400000,2023-12-27 22:00:00,LRC/USD,0.338,0.34472,0.32675,0.33337,6020.956519,2007.20627473903
1703710800000,2023-12-27 21:00:00,LRC/USD,0.32812,0.33802,0.32582,0.338,2725.068062,921.073004956
1703707200000,2023-12-27 20:00:00,LRC/USD,0.32812,0.34512,0.32209,0.32812,9867.304321,3237.65989380652
1703703600000,2023-12-27 19:00:00,LRC/USD,0.3295,0.3295,0.32812,0.32812,39.012079,12.80064336148
1703700000000,2023-12-27 18:00:00,LRC/USD,0.33273,0.33671,0.32328,0.3295,81524.243395,26862.2381986525
1703696400000,2023-12-27 17:00:00,LRC/USD,0.325,0.333,0.31383,0.33273,42440.247464,14121.14353869672
