https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1647669600000,2022-03-19 06:00:00,MANA/USD,2.44158,2.44616,2.43782,2.44316,517.139279,1263.45400088164
1647666000000,2022-03-19 05:00:00,MANA/USD,2.45141,2.4531,2.44098,2.44158,2528.90038,6174.512589800401
1647662400000,2022-03-19 04:00:00,MANA/USD,2.44294,2.4582,2.44294,2.45141,2301.190958,5641.16252635078
1647658800000,2022-03-19 03:00:00,MANA/USD,2.44842,2.45529,2.4314,2.44294,1379.982289,3371.2139330896603
1647655200000,2022-03-19 02:00:00,MANA/USD,2.43821,2.45337,2.43029,2.44842,1892.860417,4634.5173021911405
1647651600000,2022-03-19 01:00:00,MANA/USD,2.46162,2.46162,2.43632,2.43821,3621.353367,8829.61999295307
1647648000000,2022-03-19 00:00:00,MANA/USD,2.454,2.47024,2.44713,2.46162,94940.409253,233707.21022536987
1647644400000,2022-03-18 23:00:00,MANA/USD,2.434,2.46402,2.4326,2.454,4151.654112,10188.159190848
1647640800000,2022-03-18 22:00:00,MANA/USD,2.44295,2.44764,2.43,2.434,4604.393171,11207.092978214
1647637200000,2022-03-18 21:00:00,MANA/USD,2.45121,2.45121,2.43057,2.44295,4111.939829,10045.263405255551
1647633600000,2022-03-18 20:00:00,MANA/USD,2.457,2.46397,2.43814,2.45121,91914.26849,225301.1740653729
1647630000000,2022-03-18 19:00:00,MANA/USD,2.43645,2.4582,2.42885,2.457,4857.717263,11935.411315190999
1647626400000,2022-03-18 18:00:00,MANA/USD,2.42737,2.43712,2.42625,2.43645,8376.729487,20409.48255860115
1647622800000,2022-03-18 17:00:00,MANA/USD,2.43469,2.44146,2.42157,2.42737,14477.113255,35141.31040178935
1647619200000,2022-03-18 16:00:00,MANA/USD,2.4,2.43512,2.4,2.43469,35338.255164,86037.69646523916
1647615600000,2022-03-18 15:00:00,MANA/USD,2.37083,2.4,2.37083,2.4,7635.143989,18324.3455736
1647612000000,2022-03-18 14:00:00,MANA/USD,2.37421,2.385,2.36538,2.37083,9275.352154,21990.283147267823
1647608400000,2022-03-18 13:00:00,MANA/USD,2.364,2.38,2.35487,2.37421,8494.383155,20167.44943043255
1647604800000,2022-03-18 12:00:00,MANA/USD,2.36408,2.36742,2.35979,2.364,4777.422894,11293.827721416
1647601200000,2022-03-18 11:00:00,MANA/USD,2.36328,2.36824,2.3539,2.36408,3103.044245,7335.8448387196
1647597600000,2022-03-18 10:00:00,MANA/USD,2.37103,2.38189,2.36219,2.36328,3523.805073,8327.73805291944
1647594000000,2022-03-18 09:00:00,MANA/USD,2.37222,2.37723,2.36858,2.37103,3519.648808,8345.19291323224
1647590400000,2022-03-18 08:00:00,MANA/USD,2.37115,2.38864,2.37115,2.37222,1667.9169,3956.6658285179997
1647586800000,2022-03-18 07:00:00,MANA/USD,2.39259,2.39574,2.37091,2.37115,1193.659755,2830.34632806825
1647583200000,2022-03-18 06:00:00,MANA/USD,2.39843,2.40415,2.38798,2.39259,1569.366948,3754.8516661153208
1647579600000,2022-03-18 05:00:00,MANA/USD,2.38865,2.40132,2.38865,2.39843,12731.876198,30536.51382956914
1647576000000,2022-03-18 04:00:00,MANA/USD,2.36937,2.38865,2.36681,2.38865,2910.200834,6951.451222134101
1647572400000,2022-03-18 03:00:00,MANA/USD,2.37993,2.38454,2.36219,2.36937,5628.019784,13334.86123561608
1647568800000,2022-03-18 02:00:00,MANA/USD,2.39202,2.39202,2.37154,2.37993,8759.763109,20847.623016002366
1647565200000,2022-03-18 01:00:00,MANA/USD,2.38403,2.39585,2.37565,2.39202,56201.954114,134436.1982797703
1647561600000,2022-03-18 00:00:00,MANA/USD,2.43984,2.44225,2.38175,2.38403,214637.362557,511701.9114567647
1647558000000,2022-03-17 23:00:00,MANA/USD,2.45833,2.46252,2.43751,2.43984,2832.121212,6909.922617886079
1647554400000,2022-03-17 22:00:00,MANA/USD,2.43504,2.46004,2.43438,2.45833,3406.496892,8374.29350451036
1647550800000,2022-03-17 21:00:00,MANA/USD,2.433,2.43882,2.426,2.43504,3265.029932,7950.478485617279
1647547200000,2022-03-17 20:00:00,MANA/USD,2.44818,2.45223,2.42885,2.433,13216.685978,32156.196984473998
1647543600000,2022-03-17 19:00:00,MANA/USD,2.44,2.45165,2.43837,2.44818,2044.439092,5005.154896252559
